topic_id,topic_name,gcmd_link_name,gcmd_link_code
69BB89E2-2024-40BF-8DD1-7C65025F8444,Plant+responses+to+environment,LAND SURFACE/AGRICULTURE INDICATORS,gcmd.earthdata.nasa.gov/kms/concept/112e71ec-c0a1-49a8-82d7-bcb317b45860
C28652DF-567B-4785-B4D0-8B6DE8649F53,Pollution,EMISSIONS,gcmd.earthdata.nasa.gov/kms/concept/2a60df4a-a0d7-4e4b-b02a-372a083f0170
7476611A-67C7-40CD-9251-0A56C12EAD65,Population+Ecology,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
145958A0-DF76-40F3-A919-A64B4E16E540,Population+Genetics/Evolution,SPECIES/POPULATION INTERACTIONS,gcmd.earthdata.nasa.gov/kms/concept/58f39353-7e1c-4884-9501-376cd0377fbf
16936729-D808-45EE-B9A7-6BDA90277242,Prehistoric+Archaeology,PALEOCLIMATE,gcmd.earthdata.nasa.gov/kms/concept/c7245882-84a1-4192-acfa-a758b5b9c151
880B15A3-09D5-44E9-AEA7-BD8E5AE2B695,Properties+Of+Earth+Materials,SOLID EARTH,gcmd.earthdata.nasa.gov/kms/concept/2b9ad978-d986-4d63-b477-0f5efc8ace72
CC24EDDB-638D-47F8-A518-D057EAAEB4B9,Public+Health,gcmd.earthdata.nasa.gov/kms/concept/da2c70fd-d92b-45be-b159-b2c10cb387c6
0DA21288-0AE4-430A-9633-CA7DC13E1091,Quaternary+Science,EARTH SCIENCE,gcmd.earthdata.nasa.gov/kms/concept/e9f67a66-e9fc-435c-b720-ae32a2c3d8f5
62F2DE91-2FCC-4296-8788-C9F61FC7A6A9,Radiative+Processes+&+Effects,SURFACE RADIATIVE PROPERTIES,gcmd.earthdata.nasa.gov/kms/concept/cb5cc628-a1b5-459e-934f-881153a937b8
AB29DA8B-E475-4763-A8F4-E027D538A610,Regional+&+Extreme+Weather,EXTREME WEATHER,gcmd.earthdata.nasa.gov/kms/concept/b29b46ad-f05f-4144-b965-5f606ce96963
7F199C29-8AFA-4605-85CF-F9AEF5D92443,Regional+Geography,none,none
E58B2B59-9203-40D8-BA4E-79EAD081F9D4,Remote+Sensing+&+Earth+Obs.,SPECTRAL/ENGINEERING,gcmd.earthdata.nasa.gov/kms/concept/83150c54-5da8-4ee8-9579-19b95a8dc10c
812BD191-6D4F-4F72-852D-0F63AD58ABD8,Research+approaches,ADMINISTRATIVE SCIENCES,gcmd.earthdata.nasa.gov/kms/concept/fbf13798-2bcd-4ae7-99f9-a4b69dd425c1
6E8D4FE8-C7EA-4691-A293-9250BE2E69FB,Responses+to+environment,CLIMATE INDICIATORS,gcmd.earthdata.nasa.gov/kms/concept/23703b6b-ee15-4512-b5b2-f441547e2edf
8EC6A705-6D4A-44E8-95FF-27E262DA290C,RF+&+Microwave+Technology,MICROWAVE,gcmd.earthdata.nasa.gov/kms/concept/66700628-2b62-4466-999e-faeb15ca4da5
91DE3CA2-F146-4E23-94D2-392DF507EA33,Science-Based+Archaeology,none,none
C48A63FA-EC0F-439D-88A6-D06CCC7AE56B,Sediment/Sedimentary+Processes,EROSION/SEDIMENTATION,gcmd.earthdata.nasa.gov/kms/concept/a246a8cf-e3f9-4045-af9f-dc97f6fe019a
3CBAF75C-892B-4AC2-8499-334BF05853B4,Social+Anthropology,none,none
D6760DC9-CA9E-491D-844B-9BA0B88048E1,Social+Geography,none,none
B3414B75-D8A6-4BB5-8117-3F2E8669AE2E,Social+Policy,none,none
2FCBFFC2-2DC5-437B-9AD4-4FC35AC92249,Socio+Legal+Studies,none,none
E6DEF4EE-2C3F-4381-89D0-925B01B9CF27,Soil+science,SOILS,gcmd.earthdata.nasa.gov/kms/concept/3526afb8-0dc9-43c7-8ad4-f34f250a1e91
B58866EE-BF78-4CE7-AFA9-52B2CFB164F5,Solar+&+Solar-Terrestrial+Phys,none,none
265D4F19-43E5-48B0-8A3F-2FA7364967AA,Solar+Technology,none,none
A6AED911-6F1D-467C-A8A1-335074E764A3,Spatial+Planning,none,none
8CDDDC47-6DB8-492E-AC56-A075259E49CE,Statistics+&+Appl.+Probability,none,none
7D4E100B-203A-4DE7-917D-39D80861F02F,Stratospheric+Processes,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
0D9794B2-0C8D-4D7B-845E-15BB739052BF,Survey+&+Monitoring,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
9A9DA703-171E-455C-95C7-2F6BDD97FD4C,Systematics+&+Taxonomy,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
AF9C5DBF-3FBB-42D4-A7BD-848A53DDEE6A,Technol.+for+Environ.+Appl.,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
E414E6F4-177E-4A94-A205-8BF4CDB038EB,Technology+and+method+dev,EARTH SCIENCE SERVICES,gcmd.earthdata.nasa.gov/kms/concept/894f9116-ae3c-40b6-981d-5113de961710
F52704F6-1035-4307-9FA9-45BC878F1F1A,Tectonic+Processes,none,none
F773383B-E021-4109-A044-AB5EADB350EC,Theoretical+biology,BIOLOGICAL CLASSIFICATION,gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
21220CB4-4D36-471C-94CF-CF5930AD924A,Transport+Geography,TRANSPORTATION,gcmd.earthdata.nasa.gov/kms/concept/37a6c8e2-f2ac-48a4-a4fa-d80f700f68db
F6DFE439-6799-42C8-8C33-ABDFBBE848A0,Transport+Ops+&+Management,none,none
6041D28B-6B4C-4141-89BF-3AD9D822F08F,Tropospheric+Processes,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
8307939C-A65D-4E68-BB87-4F9674D09CC1,Upper+Atmos+Process+&+Geospace,ATMOSPHERE,gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
D65A01DE-F5C0-451D-A2FC-D5BBB01B1579,Visual+arts,FINE ARTS,gcmd.earthdata.nasa.gov/kms/concept/ae0ade63-4d8b-4908-9821-a2ec0bec85bc
7F1C4565-EFD3-4BE7-8A4A-B5F39FFD36F3,Volcanic+Processes,VOLCANIC ACTIVITY,gcmd.earthdata.nasa.gov/kms/concept/1faaede0-2cd6-4447-b28b-0a28d9e2d067
08E9085E-5508-428B-AB19-85E5693148B3,Water+Engineering,ENVIRONMENTAL ENGINEERING,gcmd.earthdata.nasa.gov/kms/concept/596225b7-2cd8-4638-bb75-23bfb491aeb1
A6F8EF7A-279E-496C-8BF5-ADA444D51CF3,Water+In+The+Atmosphere,none,none
71A8EA33-09DF-4E02-85BA-A9545564F72D,Water+Quality,WATER QUALITY,gcmd.earthdata.nasa.gov/kms/concept/1ee8a323-f0ba-4a21-b597-50890c527c8e
46708542-5C83-487C-A8C3-DF9102E4B70F,Wind+Power,none,none
6CFA1E1F-F25C-4C23-8FE1-C47AE53E333E,Unclassified,none,none
